time,demand,supply
408,0.496,-0.003
409,0.441,-0.003
410,0.437,-0.003
411,0.404,-0.003
412,0.413,-0.003
413,0.595,-0.003
414,0.424,-0.003
415,0.577,-0.003
416,0.407,-0.003
417,0.690,-0.003
418,0.613,0.335
419,0.411,1.490
420,0.490,2.604
421,0.436,3.369
422,0.425,3.839
423,0.451,4.101
424,1.227,4.016
425,2.034,2.141
426,0.711,0.161
427,0.843,0.028
428,0.958,-0.004
429,1.114,-0.003
430,1.144,-0.003
431,1.017,-0.003
432,0.562,-0.003
433,0.424,-0.003
434,0.389,-0.004
435,0.377,-0.004
436,0.405,-0.003
437,0.374,-0.004
438,0.373,-0.004
439,0.382,-0.004
440,0.733,-0.003
441,0.746,0.009
442,0.681,0.368
443,0.406,1.408
444,0.445,2.529
445,0.457,3.357
446,0.772,3.847
447,0.512,4.016
448,0.733,3.879
449,2.036,2.095
450,2.665,0.446
451,1.653,0.083
452,0.951,-0.002
453,1.778,0.001
454,1.367,-0.001
455,1.132,-0.002
456,0.717,-0.003
457,0.410,-0.004
458,0.419,-0.003
459,0.388,-0.004
460,0.386,-0.004
461,0.395,-0.004
462,0.403,-0.003
463,0.388,-0.004
464,0.381,-0.004
465,0.370,0.010
466,0.468,0.357
467,0.435,1.424
468,0.411,2.495
469,0.449,3.245
470,1.409,3.673
471,2.067,3.865
472,0.782,3.780
473,0.800,2.060
474,3.666,0.223
475,1.810,0.044
476,1.378,-0.005
477,1.842,-0.002
478,1.190,-0.002
479,0.986,-0.004
480,0.577,-0.003
481,0.497,-0.003
482,0.421,-0.003
483,0.408,-0.004
484,0.405,-0.004
485,0.411,-0.003
486,0.428,-0.003
487,0.411,-0.003
488,0.404,-0.003
489,0.393,0.001
490,0.520,0.069
491,0.456,0.220
492,0.403,0.419
493,0.199,0.378
494,0.434,0.420
495,0.822,0.325
496,0.695,0.207
497,0.548,0.036
498,0.651,-0.003
499,1.049,-0.003
500,0.844,-0.003
501,0.780,-0.002
502,1.172,-0.002
503,1.087,-0.002
504,0.767,-0.003
505,0.554,-0.003
506,0.610,-0.002
507,0.463,-0.003
508,0.537,-0.003
509,0.411,-0.003
510,0.678,-0.002
511,0.412,-0.003
512,0.556,-0.003
